encoding,char,error-message
cce3,枃,BadArguments
cce4,杽,BadArguments
cce5,极,BadArguments
cce6,杸,BadArguments
cce7,杹,BadArguments
cce8,枔,BadArguments
cce9,欥,BadArguments
cceb,歾,BadArguments
ccec,毞,BadArguments
ccef,泬,BadArguments
ccf2,泙,BadArguments
ccf3,沶,BadArguments
ccf6,泧,BadArguments
ccf7,沷,BadArguments
ccfa,沺,BadArguments
ccfb,泃,BadArguments
ccfc,泆,BadArguments
ccfd,泭,BadArguments
cd40,泒,BadArguments
cd41,泝,BadArguments
cd43,沊,BadArguments
cd44,沝,BadArguments
cd45,沀,BadArguments
cd46,泞,BadArguments
cd47,泀,BadArguments
cd48,洰,BadArguments
cd49,泍,BadArguments
cd4a,泇,BadArguments
cd4b,沰,BadArguments
cd4c,泹,BadArguments
cd4d,泏,BadArguments
cd4e,泩,BadArguments
cd4f,泑,BadArguments
cd50,炔,BadArguments
cd52,炅,BadArguments
cd53,炓,BadArguments
cd54,炆,BadArguments
cd55,炄,BadArguments
cd56,炑,BadArguments
cd57,炖,BadArguments
cd58,炂,BadArguments
cd59,炚,BadArguments
cd5a,炃,BadArguments
cd5b,牪,BadArguments
cd5c,狖,BadArguments
cd5d,狋,BadArguments
cd5e,狘,BadArguments
cd60,狜,BadArguments
cd62,狔,BadArguments
cd63,狚,BadArguments
cd64,狌,BadArguments
cd65,狑,BadArguments
cd66,玤,BadArguments
cd67,玡,BadArguments
cd68,玭,BadArguments
cd6a,玢,BadArguments
cd6b,玠,BadArguments
cd6c,玬,BadArguments
cd6d,玝,BadArguments
cd6e,瓝,BadArguments
cd6f,瓨,BadArguments
cd70,甿,BadArguments
cd72,甾,BadArguments
cd73,疌,BadArguments
cd75,皯,BadArguments
cd76,盳,BadArguments
cd78,盰,BadArguments
cd79,盵,BadArguments
cd7a,矸,BadArguments
cd7b,矼,BadArguments
cd7c,矹,BadArguments
cd7e,矺,BadArguments
cda1,矷,BadArguments
cda2,祂,BadArguments
cda3,礿,BadArguments
cda4,秅,BadArguments
cda6,穻,BadArguments
cda8,籵,BadArguments
cda9,糽,BadArguments
cdaa,耵,BadArguments
cdac,肮,BadArguments
cdad,肣,BadArguments
cdaf,肵,BadArguments
